service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
66801,1,1,1,1,1,0,0,20241216,20241221
66802,1,1,1,1,0,0,0,20241216,20241221
66803,0,1,1,1,1,0,0,20241216,20241221
66804,0,1,1,1,1,0,0,20241216,20241221
66805,0,0,0,0,1,0,0,20241216,20241221
66806,0,0,0,0,0,1,0,20241216,20241221
66807,0,0,0,0,0,1,0,20241216,20241221
66808,0,0,0,0,0,0,1,20241216,20241221
66809,0,0,0,0,0,0,1,20241216,20241221
66810,0,0,1,1,1,1,0,20241216,20241221
66811,0,1,1,1,1,1,0,20241216,20241221
66812,0,1,1,1,1,1,0,20241216,20241221
66813,1,0,0,0,0,0,0,20241216,20241221
66814,1,0,0,0,0,0,0,20241216,20241221
66815,1,0,0,0,0,0,0,20241216,20241221
66816,0,1,0,0,0,0,0,20241216,20241221
66817,0,1,0,0,0,0,0,20241216,20241221
66818,1,0,1,1,1,0,0,20241216,20241221
66819,1,0,1,1,1,0,0,20241216,20241221
66820,0,0,1,0,0,0,0,20241216,20241221
66821,0,0,1,0,0,0,0,20241216,20241221
66822,1,1,0,1,1,0,0,20241216,20241221
66823,1,1,0,1,1,0,0,20241216,20241221
66824,0,0,0,1,0,0,0,20241216,20241221
66825,0,0,0,1,0,0,0,20241216,20241221
66826,1,1,1,0,1,0,0,20241216,20241221
66827,1,1,1,0,1,0,0,20241216,20241221
66828,0,1,1,0,0,0,0,20241216,20241221
66829,0,1,1,0,0,0,0,20241216,20241221
66830,1,0,0,1,1,0,0,20241216,20241221
66831,1,0,0,1,1,0,0,20241216,20241221
66832,1,1,0,0,1,0,0,20241216,20241221
66833,1,1,0,0,1,0,0,20241216,20241221
66834,1,1,1,1,1,0,1,20241216,20241221
66835,1,1,1,1,1,0,1,20241216,20241221
66836,1,1,1,1,1,1,0,20241216,20241221
66837,1,1,1,1,1,1,0,20241216,20241221
66838,1,1,1,1,1,1,0,20241216,20241221
66839,1,1,1,1,1,0,0,20241216,20241221
66840,1,1,1,1,0,0,1,20241216,20241221
66841,0,1,1,0,1,0,0,20241216,20241221
66842,0,1,1,0,1,0,0,20241216,20241221
66901,1,1,1,1,1,0,0,20241222,20250331
66902,1,1,1,1,0,0,0,20241222,20250331
66903,0,1,1,1,1,0,0,20241222,20250331
66904,0,1,1,1,1,0,0,20241222,20250331
66905,0,0,0,0,1,0,0,20241222,20250331
