service_id,date,exception_type
66901,20241225,2
66901,20250101,2
66902,20241225,2
66902,20250101,2
66903,20241225,2
66903,20250101,2
66904,20241226,2
66904,20250102,2
66905,20241225,2
66905,20250101,2
66906,20241225,2
66906,20250101,2
66907,20241226,2
66907,20250102,2
66908,20241226,2
66908,20250102,2
66909,20241225,1
66909,20250101,1
66910,20241226,2
66910,20250102,2
66911,20241225,2
66911,20250101,2
66912,20241226,2
66912,20250102,2
66913,20241225,2
66913,20250101,2
66914,20241226,2
66914,20250102,2
66915,20241226,1
66915,20250102,1
66916,20241225,2
66916,20250101,2
66917,20241226,2
66917,20250102,2
66918,20241225,2
66918,20250101,2
66919,20241226,2
66919,20250102,2
66920,20241225,2
66920,20250101,2
66921,20241226,2
66921,20250102,2
66922,20241225,2
66922,20250101,2
66923,20241226,2
66923,20250102,2
66924,20241225,2
66924,20250101,2
66925,20241226,2
66925,20250102,2
66926,20241225,2
66926,20250101,2
66927,20241226,2
66927,20250102,2
66928,20241225,2
66928,20250101,2
66929,20241226,2
66929,20250102,2
66930,20241225,2
66930,20250101,2
66931,20241226,2
66931,20250102,2
66932,20241225,2
66932,20250101,2
66933,20241226,2
66933,20250102,2
66934,20241225,2
66934,20250101,2
66935,20241226,2
66935,20250102,2
66936,20241225,2
66936,20250101,2
66937,20241226,2
66937,20250102,2
66938,20241226,1
66938,20250102,1
66939,20241226,1
66939,20250102,1
66940,20241225,1
66940,20250101,1
66941,20241225,2
66941,20250101,2
66942,20241226,2
66942,20250102,2
108501,20241225,2
108501,20250101,2
108502,20241225,2
108502,20250101,2
108503,20241225,2
108503,20250101,2
108504,20241226,2
108504,20250102,2
108505,20241225,2
108505,20250101,2
108506,20241225,2
108506,20250101,2
108507,20241226,2
108507,20250102,2
108508,20241226,2
108508,20250102,2
108509,20241225,1
108509,20250101,1
108510,20241226,2
108510,20250102,2
108511,20241225,2
108511,20250101,2
108512,20241226,2
108512,20250102,2
108513,20241225,2
108513,20250101,2
108514,20241226,2
108514,20250102,2
108515,20241226,1
108515,20250102,1
108516,20241225,2
108516,20250101,2
108517,20241226,2
108517,20250102,2
108518,20241225,2
108518,20250101,2
108519,20241226,2
108519,20250102,2
108520,20241225,2
108520,20250101,2
108521,20241226,2
108521,20250102,2
108522,20241225,2
108522,20250101,2
108523,20241226,2
108523,20250102,2
108524,20241225,2
108524,20250101,2
108525,20241226,2
108525,20250102,2
108526,20241225,2
108526,20250101,2
108527,20241226,2
108527,20250102,2
108528,20241225,2
108528,20250101,2
108529,20241226,2
108529,20250102,2
108530,20241225,2
108530,20250101,2
108531,20241226,2
108531,20250102,2
108532,20241225,2
108532,20250101,2
108533,20241226,2
108533,20250102,2
108534,20241225,2
108534,20250101,2
108535,20241226,2
108535,20250102,2
108536,20241225,2
108536,20250101,2
108537,20241226,2
108537,20250102,2
108538,20241226,1
108538,20250102,1
108539,20241226,1
108539,20250102,1
108540,20241225,1
108540,20250101,1
108541,20241225,2
108541,20250101,2
108542,20241226,2
108542,20250102,2
208501,20241225,2
208501,20250101,2
